ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13986126,JJ437642,10/03/2025 04:40:00 AM,013XX N MAPLEWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,false,true,1423,14,26,24,07,1159160,1908886,2025,03/14/2026 03:41:39 PM,41.905710825,-87.690788028,"(41.905710825, -87.690788028)"
13967093,JJ414810,09/12/2025 12:00:00 PM,008XX W KINZIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1214,12,27,24,14,1170846,1902903,2025,03/14/2026 03:41:39 PM,41.889044884,-87.648037032,"(41.889044884, -87.648037032)"
13895068,JJ327377,07/06/2025 12:00:00 AM,029XX W ROOSEVELT RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1135,11,28,29,26,1157077,1894573,2025,03/14/2026 03:41:39 PM,41.866477165,-87.698828386,"(41.866477165, -87.698828386)"
13883099,JJ312665,06/28/2025 02:40:00 PM,015XX W WILSON AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,1912,19,47,3,06,1165144,1930629,2025,03/14/2026 03:41:39 PM,41.965249692,-87.668187079,"(41.965249692, -87.668187079)"
13882459,JJ312213,06/28/2025 08:15:00 AM,047XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,224,2,3,38,08B,1177512,1873717,2025,03/14/2026 03:41:39 PM,41.808807759,-87.624441899,"(41.808807759, -87.624441899)"
13882080,JJ311758,06/27/2025 02:00:00 AM,0000X W HUBBARD ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,1831,18,42,8,02,1175657,1903301,2025,03/14/2026 03:41:39 PM,41.890030224,-87.630357348,"(41.890030224, -87.630357348)"
13874315,JJ302295,06/20/2025 07:21:00 PM,010XX W 18TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1235,12,25,31,08B,1169628,1891581,2025,03/14/2026 03:41:39 PM,41.858003073,-87.652839615,"(41.858003073, -87.652839615)"
13816872,JJ231594,04/25/2025 12:00:00 PM,051XX N FRANCISCO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,false,false,2031,20,40,4,11,1156106,1934097,2025,03/14/2026 03:41:39 PM,41.974953796,-87.701323687,"(41.974953796, -87.701323687)"
13815355,JJ229584,04/24/2025 09:15:00 AM,090XX S BRANDON AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,424,4,10,46,08B,1198894,1845666,2025,03/14/2026 03:41:39 PM,41.731323408,-87.546959468,"(41.731323408, -87.546959468)"
13788966,JJ197938,03/27/2025 11:40:00 PM,029XX W WASHINGTON BLVD,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,1222,12,27,27,07,1156731,1900541,2025,03/14/2026 03:41:39 PM,41.882860968,-87.699936913,"(41.882860968, -87.699936913)"
13746433,JJ146660,02/11/2025 04:00:00 PM,038XX S PARNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,915,9,11,60,07,1173264,1879285,2025,11/02/2025 03:41:09 PM,41.824181975,-87.639857777,"(41.824181975, -87.639857777)"
13735022,JJ132594,01/30/2025 02:48:00 PM,007XX W 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,711,7,16,68,08B,1172467,1864421,2025,11/02/2025 03:41:09 PM,41.783411246,-87.643219534,"(41.783411246, -87.643219534)"
13646789,JH487656,10/29/2024 02:30:00 PM,059XX S FAIRFIELD AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,824,8,16,66,08A,1159060,1865155,2024,05/17/2025 03:40:52 PM,41.785710209,-87.692354311,"(41.785710209, -87.692354311)"
13638358,JH477028,10/20/2024 07:00:00 PM,040XX W 63RD ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,false,false,813,8,13,65,03,1150574,1862520,2024,05/17/2025 03:40:52 PM,41.778648742,-87.723536854,"(41.778648742, -87.723536854)"
13634334,JH471881,10/17/2024 01:51:00 PM,013XX S KARLOV AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,false,1011,10,24,29,04A,1149269,1893363,2024,05/17/2025 03:40:52 PM,41.863311568,-87.727523894,"(41.863311568, -87.727523894)"
13605510,JH438168,09/21/2024 09:00:00 AM,006XX N HAMLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1122,11,27,23,14,1150943,1903985,2024,05/17/2025 03:40:52 PM,41.892426925,-87.721100578,"(41.892426925, -87.721100578)"
13562913,JH386666,08/10/2024 07:07:00 PM,014XX N KINGSBURY ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,DEPARTMENT STORE,false,false,1822,18,27,8,14,1170075,1909354,2024,05/17/2025 03:40:52 PM,41.906763691,-87.650679924,"(41.906763691, -87.650679924)"
13520924,JH336783,07/06/2024 06:00:00 PM,035XX S RHODES AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,212,2,4,35,08A,1180172,1881335,2024,05/17/2025 03:40:52 PM,41.829651528,-87.614451899,"(41.829651528, -87.614451899)"
13517437,JH332306,07/03/2024 08:10:00 PM,043XX N ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,true,1912,19,47,6,05,1164873,1928965,2024,05/17/2025 03:40:52 PM,41.960689376,-87.669230899,"(41.960689376, -87.669230899)"
13509694,JH323442,06/27/2024 10:00:00 AM,031XX W FLOURNOY ST,0560,ASSAULT,SIMPLE,STREET,false,false,1134,11,24,27,08A,1155468,1896862,2024,05/17/2025 03:40:52 PM,41.872790905,-87.70467367,"(41.872790905, -87.70467367)"
13506470,JH319627,06/20/2024 12:00:00 AM,056XX W BERENICE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,1633,16,38,15,26,1138164,1925033,2024,05/17/2025 03:40:52 PM,41.950425618,-87.767523161,"(41.950425618, -87.767523161)"
13495633,JH306499,06/15/2024 12:36:00 AM,045XX W AUGUSTA BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1111,11,37,23,15,1146100,1906279,2024,05/17/2025 03:40:52 PM,41.898815363,-87.738828711,"(41.898815363, -87.738828711)"
13523434,JH339570,06/01/2024 09:00:00 AM,035XX W 83RD PL,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,834,8,18,70,06,1154298,1848991,2024,05/17/2025 03:40:52 PM,41.741449715,-87.710243512,"(41.741449715, -87.710243512)"
13475934,JH282628,05/27/2024 01:00:00 PM,016XX E 87TH PL,0810,THEFT,OVER $500,APARTMENT,false,false,412,4,8,48,06,1188867,1847298,2024,05/17/2025 03:40:52 PM,41.736047295,-87.583639397,"(41.736047295, -87.583639397)"
